author,rating,time,year,amount,frequency
      wenbiao,100,2018-12-31,2018,110,1
 Goh Yu Wen Eunice,100,2017-11-26,2017,110,1
 Hui Shan,100,2016-12-7,2016,110,1
 Huihui,60,2017-9-28,2017,110,1
 KO-CHENG,100,2018-7-16,2018,110,1
 TING SHAN,80,2018-5-16,2018,110,1
A,100,2018-11-12,2018,110,1
A RAM,80,2017-12-14,2017,110,1
Aaron,100,2018-9-25,2018,110,1
Aaron,100,2018-9-23,2018,110,1
Aaron,80,2016-12-9,2016,110,1
Aaron Kenneth,100,2018-1-18,2018,110,1
Abby,60,2017-8-24,2017,110,1
Abdel Khaiz,100,2018-4-8,2018,110,1
Abdul Najib,100,2018-12-2,2018,110,1
Abdullah Hisham,60,2018-8-27,2018,110,1
Abel,100,2018-7-14,2018,110,1
abhijit shashank,40,2018-1-11,2018,110,1
Abigail,100,2018-9-29,2018,110,1
Abigail,100,2018-7-20,2018,110,1
Abigail,100,2018-6-16,2018,110,1
Abigail,80,2018-5-1,2018,110,1
Abigail,100,2017-8-27,2017,110,1
Abigail,80,2017-7-26,2017,110,1
ABIGAIL BEATRICE,40,2019-1-11,2019,110,1
abigail faye,100,2017-11-14,2017,110,1
Abigail Joy,100,2018-11-7,2018,110,1
Abner,100,2017-3-10,2017,110,1
Ace,100,2017-3-16,2017,110,1
Ace,100,2016-10-15,2016,110,1
Ada,100,2018-11-12,2018,110,1
Adam,100,2018-11-30,2018,110,1
Adcel,100,2018-11-19,2018,110,1
Adela,100,2017-12-20,2017,110,1
Adelaide,100,2017-8-23,2017,110,1
Adeline Huey Lih,100,2018-12-25,2018,110,1
ADRELIA,80,2018-12-25,2018,110,1
Adrian,100,2018-2-13,2018,110,1
Adrian Anthony,100,2018-9-24,2018,110,1
Adrian Arnel,100,2018-11-28,2018,110,1
Adrian Chai,100,2018-12-7,2018,110,1
Adrian Paul,100,2018-10-13,2018,110,1
ADRIAN YONG,80,2017-9-16,2017,110,1
Adriel,100,2017-5-19,2017,110,1
ADRIENNE JANNELLE,100,2019-2-21,2019,110,1
ADRINA,100,2018-9-3,2018,110,1
AEJIN,100,2018-6-26,2018,110,1
aekyoung,60,2018-9-27,2018,110,1
Afandy,100,2018-1-8,2018,110,1
Afiq,100,2017-10-29,2017,110,1
Afiqah,100,2019-1-23,2019,110,1
Agatha,100,2016-11-20,2016,110,1
Agerico,80,2018-5-31,2018,110,1
Agnes,100,2018-10-17,2018,110,1
Agnes,80,2017-12-24,2017,110,1
Agnes,100,2017-12-10,2017,110,1
Agueda,100,2018-7-26,2018,110,1
Agung Fabian,100,2018-10-20,2018,110,1
Agus,100,2019-2-19,2019,110,1
AGUS FREDY,100,2018-6-23,2018,110,1
Agustin,100,2019-1-9,2019,110,1
Ah,100,2019-1-5,2019,110,1
Ah An,100,2018-6-28,2018,110,1
AH YOUNG,100,2018-10-15,2018,110,1
Ahhae,100,2018-6-12,2018,110,1
Ahhyun,100,2018-9-26,2018,110,1
AHMAD DANIAL,80,2019-2-28,2019,110,1
AHMAD KHUZAIMI,100,2018-1-3,2018,110,1
Ahmad Rauf,80,2018-7-13,2018,110,1
