,season,holiday,weather,temp,humidity,windspeed,count,hour,month,hour_count,wendu,wh
1257,1,0,1,13.12,76,7.0015,13,5,3,低谷,1,2
6640,1,0,1,22.96,56,8.9981,87,23,3,正常,2,2
5673,1,0,3,13.12,76,0.0,65,13,1,高峰,1,1
2990,3,0,1,34.44,41,19.0012,174,12,7,中高峰,5,1
7356,2,0,2,23.78,78,15.0013,269,21,5,正常,3,1
4844,4,0,1,23.78,56,23.9994,113,22,11,正常,3,2
8444,3,0,2,27.06,56,6.0032,34,5,7,低谷,3,2
10875,4,0,1,17.22,50,12.998,213,13,12,高峰,2,1
3586,3,0,2,27.06,83,0.0,398,8,8,高峰,3,0
10303,4,0,1,13.12,49,12.998,583,17,11,高峰,1,0
9841,4,0,1,22.14,56,12.998,428,10,10,正常,2,0
685,1,0,1,8.2,59,8.9981,47,21,2,正常,0,2
1305,1,0,1,18.04,44,27.9993,10,6,3,正常,2,2
3746,3,0,3,22.14,94,16.9979,5,1,9,低谷,2,2
7595,2,0,3,26.24,73,8.9981,263,20,5,中高峰,3,0
448,1,0,2,9.84,81,7.0015,168,18,2,高峰,0,0
4109,4,0,2,14.76,71,0.0,94,6,10,正常,1,2
6245,1,0,3,13.12,70,7.0015,71,11,2,中高峰,1,1
5903,1,0,3,16.4,82,6.0032,1,4,2,低谷,1,2
2245,2,0,2,33.62,59,15.0013,112,11,6,中高峰,5,1
5407,4,0,1,9.02,69,15.0013,183,9,12,中高峰,0,0
10488,4,0,1,18.04,77,8.9981,136,10,12,正常,2,1
8040,2,0,1,25.42,65,11.0014,366,9,6,中高峰,3,0
8948,3,0,1,26.24,78,7.0015,39,5,8,低谷,3,2
8593,3,0,1,31.16,58,12.998,198,10,7,正常,4,1
10339,4,0,2,12.3,65,6.0032,36,5,11,低谷,1,2
7003,2,0,1,14.76,71,8.9981,2,3,4,低谷,1,2
10012,4,0,1,16.4,43,23.9994,294,13,11,高峰,1,1
8127,2,0,2,24.6,78,11.0014,35,0,6,低谷,3,2
6207,1,0,2,14.76,50,7.0015,109,21,2,正常,1,2
4230,4,0,1,17.22,94,6.0032,73,7,10,正常,2,2
2759,3,0,2,27.06,83,11.0014,167,21,7,正常,3,1
6327,1,0,3,10.66,65,11.0014,36,21,2,正常,0,1
2930,3,0,1,28.7,65,12.998,35,0,7,低谷,4,2
5157,4,0,1,9.84,70,7.0015,61,23,12,正常,0,2
1638,2,0,1,13.94,76,0.0,9,4,4,低谷,1,2
7482,2,0,1,18.86,41,19.0012,13,3,5,低谷,2,2
496,1,0,1,8.2,40,0.0,96,19,2,高峰,0,0
3896,3,0,1,26.24,69,6.0032,214,9,9,中高峰,3,0
844,1,0,1,27.06,36,22.0028,172,15,2,中高峰,3,1
872,1,0,1,13.94,29,23.9994,59,19,2,高峰,1,0
4057,4,0,1,18.86,63,27.9993,67,2,10,低谷,2,2
8402,3,0,2,31.16,58,8.9981,229,11,7,中高峰,4,1
90,1,0,1,9.02,64,6.0032,35,22,1,正常,0,2
5625,1,0,2,10.66,56,7.0015,103,12,1,中高峰,0,1
8583,3,0,1,30.34,66,6.0032,66,0,7,低谷,4,2
5935,1,0,1,13.94,46,8.9981,216,12,2,中高峰,1,1
10476,4,0,2,18.04,77,12.998,96,22,12,正常,2,1
6816,2,0,1,14.76,57,22.0028,589,8,4,高峰,1,0
10281,4,0,1,13.12,49,23.9994,356,19,11,高峰,1,0
4354,4,0,2,25.42,83,0.0,84,11,10,中高峰,3,1
7927,2,0,1,34.44,36,19.0012,508,16,6,高峰,5,0
8721,3,0,3,28.7,74,8.9981,229,18,8,高峰,4,0
6095,1,0,1,9.84,52,15.0013,17,5,2,低谷,0,2
2457,2,0,1,29.52,66,7.0015,267,7,6,正常,4,0
787,1,0,1,8.2,55,15.0013,33,6,2,正常,0,2
10435,4,0,1,9.84,87,6.0032,13,5,12,低谷,0,2
847,1,0,1,26.24,33,22.0028,224,18,2,高峰,3,0
9221,3,0,1,32.8,59,16.9979,253,14,9,中高峰,4,1
2798,3,0,1,32.8,43,7.0015,201,12,7,中高峰,4,1
4887,4,0,2,19.68,88,12.998,233,17,11,高峰,2,0
3423,3,0,1,31.98,29,6.0032,253,13,8,高峰,4,1
8655,3,0,1,29.52,70,12.998,71,0,8,低谷,4,2
4008,3,0,1,18.86,77,15.0013,79,1,9,低谷,2,2
4363,4,0,1,25.42,83,19.0012,181,20,10,中高峰,3,0
2098,2,0,3,20.5,94,0.0,88,8,5,高峰,2,1
5911,1,0,1,17.22,82,0.0,148,12,2,中高峰,2,1
2423,2,0,1,32.8,66,8.9981,202,21,6,正常,4,2
192,1,0,1,3.28,53,12.998,6,7,1,正常,0,2
3995,3,0,2,21.32,67,15.0013,372,12,9,中高峰,2,0
8404,3,0,2,32.8,42,11.0014,273,13,7,高峰,4,1
5557,1,0,1,21.32,27,19.0012,294,16,1,高峰,2,1
4875,4,0,3,18.86,94,7.0015,13,5,11,低谷,2,2
1949,2,0,1,18.86,72,6.0032,31,3,5,低谷,2,2
4090,4,0,2,15.58,66,16.9979,292,11,10,中高峰,1,0
8248,3,0,1,30.34,51,19.0012,30,1,7,低谷,4,2
2200,2,0,2,23.78,78,19.0012,138,14,5,中高峰,3,1
1977,2,0,1,19.68,63,16.9979,237,7,5,正常,2,0
2175,2,0,2,22.96,88,22.0028,172,13,5,高峰,2,1
8246,3,1,2,31.98,43,6.0032,183,23,7,正常,4,1
1318,1,0,1,18.04,33,19.0012,154,19,3,高峰,2,0
2106,2,0,2,22.14,94,12.998,295,16,5,高峰,2,0
7146,2,1,1,23.78,68,12.998,8,3,4,低谷,3,2
7237,2,0,1,21.32,59,12.998,248,22,4,正常,2,2
9051,3,0,3,26.24,73,0.0,298,12,8,中高峰,3,0
9498,3,0,2,21.32,63,16.9979,5,3,9,低谷,2,2
2396,2,0,1,31.98,46,19.0012,551,18,6,高峰,4,0
4973,4,0,1,9.84,65,23.9994,276,7,12,正常,0,0
2291,2,0,1,23.78,40,11.0014,230,9,6,中高峰,3,0
5804,1,0,2,10.66,70,22.0028,12,0,1,低谷,0,2
10665,4,0,1,21.32,77,19.0012,427,19,12,高峰,2,0
8478,3,0,1,32.8,55,11.0014,560,15,7,中高峰,4,0
9137,3,0,1,27.88,82,8.9981,5,2,9,低谷,3,2
2917,3,0,1,31.98,55,12.998,287,11,7,中高峰,4,0
10860,4,0,1,13.94,49,0.0,132,22,12,正常,1,2
4140,4,0,1,22.96,56,19.9995,173,13,10,高峰,2,1
4606,4,0,1,13.12,45,23.9994,52,0,11,低谷,1,2
4096,4,0,3,14.76,87,11.0014,167,17,10,高峰,1,0
6789,2,0,2,13.94,81,6.0032,12,4,4,低谷,1,2
10143,4,0,3,11.48,61,15.0013,15,0,11,低谷,0,2
6307,1,0,2,13.12,39,16.9979,72,1,2,低谷,1,2
6488,1,0,1,21.32,36,22.0028,175,14,3,中高峰,2,1
8581,3,0,1,31.16,58,6.0032,288,22,7,正常,4,2
4000,3,0,1,21.32,72,15.0013,359,17,9,高峰,2,0
5581,1,0,2,22.96,37,19.0012,401,16,1,高峰,2,0
4055,4,0,1,20.5,63,26.0027,130,0,10,低谷,2,2
979,1,0,2,12.3,100,15.0013,4,6,3,正常,1,2
9941,4,0,2,25.42,50,19.9995,285,14,10,中高峰,3,1
9216,3,0,1,28.7,79,8.9981,344,9,9,中高峰,4,0
1387,2,0,2,18.86,31,12.998,303,16,4,高峰,2,0
2068,2,0,2,20.5,88,8.9981,11,2,5,低谷,2,2
8223,3,1,1,27.88,79,6.0032,159,0,7,低谷,3,2
10486,4,0,1,14.76,93,0.0,731,8,12,高峰,1,0
7644,2,0,1,23.78,40,7.0015,299,21,5,正常,3,2
3483,3,0,2,24.6,88,8.9981,10,1,8,低谷,3,2
4653,4,0,1,13.94,87,6.0032,50,23,11,正常,1,1
9476,3,0,2,26.24,89,22.0028,48,5,9,低谷,3,2
9553,4,0,3,23.78,88,8.9981,45,10,10,正常,3,1
199,1,0,1,9.02,32,31.0009,72,14,1,中高峰,0,0
309,1,0,1,5.74,69,8.9981,117,9,1,中高峰,0,0
9900,4,0,1,18.86,63,0.0,195,21,10,正常,2,2
10380,4,0,2,13.12,57,7.0015,145,22,11,正常,1,1
3145,3,0,3,29.52,79,11.0014,92,23,7,正常,4,2
10742,4,0,1,9.02,64,6.0032,47,0,12,低谷,0,2
4172,4,0,1,20.5,82,7.0015,201,21,10,正常,2,2
2479,2,0,1,27.88,74,8.9981,16,5,6,低谷,3,2
6476,1,0,1,12.3,56,19.0012,4,2,3,低谷,1,2
6676,1,0,1,22.96,60,8.9981,211,11,3,中高峰,2,1
1599,2,0,3,22.14,68,19.0012,106,13,4,高峰,2,1
10381,4,0,2,12.3,70,7.0015,133,23,11,正常,1,1
9490,3,0,2,24.6,88,19.9995,324,19,9,高峰,3,0
8224,3,1,1,27.88,74,0.0,123,1,7,低谷,3,2
401,1,0,2,9.02,82,12.998,125,17,1,高峰,0,0
271,1,0,1,8.2,47,35.0008,137,18,1,高峰,0,0
6502,1,0,1,18.04,72,19.0012,2,4,3,低谷,2,2
5844,1,0,1,10.66,33,30.0026,346,17,1,高峰,0,0
2400,2,0,1,28.7,65,8.9981,153,22,6,正常,4,2
5224,4,0,1,9.84,48,12.998,163,18,12,高峰,0,0
9432,3,0,1,23.78,60,8.9981,296,9,9,中高峰,3,1
1286,1,0,1,22.14,52,19.0012,159,11,3,中高峰,2,1
5685,1,0,3,14.76,93,12.998,3,1,1,低谷,1,2
8206,3,0,1,30.34,58,0.0,483,7,7,正常,4,0
9493,3,0,3,23.78,83,31.0009,151,22,9,正常,3,2
6215,1,0,1,11.48,70,7.0015,25,5,2,低谷,0,2
7872,2,0,1,25.42,53,11.0014,382,9,6,中高峰,3,0
6719,1,0,2,17.22,94,12.998,30,6,3,正常,2,2
9026,3,0,1,29.52,51,0.0,536,11,8,中高峰,4,0
10709,4,0,2,13.94,46,7.0015,228,15,12,中高峰,1,1
9287,3,0,1,22.96,60,19.0012,730,8,9,高峰,2,0
9788,4,0,1,14.76,81,6.0032,35,5,10,低谷,1,2
83,1,0,1,11.48,52,16.9979,65,15,1,中高峰,0,1
10853,4,0,1,18.86,44,32.9975,246,15,12,中高峰,2,1
8328,3,0,1,35.26,50,7.0015,242,9,7,中高峰,5,1
9606,4,0,1,29.52,54,19.0012,325,15,10,中高峰,4,1
3004,3,0,1,26.24,57,19.9995,10,2,7,低谷,3,2
10571,4,0,2,9.84,60,8.9981,191,21,12,正常,0,2
7619,2,0,1,27.06,65,16.9979,459,20,5,中高峰,3,0
7613,2,0,1,29.52,42,6.0032,263,14,5,中高峰,4,1
859,1,0,1,16.4,17,27.9993,6,6,2,正常,1,2
8110,2,0,3,21.32,94,15.0013,145,7,6,正常,2,0
2705,3,0,1,33.62,21,16.9979,381,15,7,中高峰,5,1
793,1,0,1,15.58,32,22.0028,86,12,2,中高峰,1,1
9251,3,0,2,23.78,88,6.0032,194,20,9,中高峰,3,1
8778,3,0,1,28.7,84,0.0,7,3,8,低谷,4,2
5173,4,0,1,15.58,46,19.0012,189,15,12,中高峰,1,1
