,user_id,购买频率,活跃度,复购次数,活跃时间,种类数量
0,4913,6.1000000000000005,385.3,44,23,664
1,7528,6.2,62.300000000000004,12,22,73
2,12645,8.7,66.6,14,23,82
3,88930,26.4,361.40000000000003,35,23,453
4,100539,15.1,267.1,16,23,359
5,109103,13.4,120.4,15,22,126
6,113960,36.9,498.70000000000005,21,23,723
7,120873,3.9000000000000004,364.5,21,23,810
8,151617,28.3,457.5,27,23,665
9,189833,23.5,893.5,35,23,1137
10,213655,14.7,619.6,30,23,991
11,230711,13.8,87.5,7,23,158
12,247543,24.0,257.20000000000005,30,23,287
13,250843,23.0,497.00000000000006,34,23,811
14,432337,4.800000000000001,200.10000000000002,36,22,322
15,450683,3.9000000000000004,65.80000000000001,14,23,107
16,475826,100.0,1649.0,23,23,3552
17,483640,15.7,125.9,21,23,159
18,497764,15.3,917.4,37,23,1565
19,501286,19.1,240.10000000000002,24,23,419
20,521437,19.700000000000003,136.7,19,22,177
21,611920,12.200000000000001,349.1,14,23,861
22,632347,60.4,596.4000000000001,34,23,928
23,704891,23.700000000000003,295.5,27,23,364
24,790713,11.3,303.6,45,22,436
25,801018,10.4,253.90000000000003,27,23,417
26,807106,51.2,341.0,63,23,488
27,814199,28.1,582.9,25,23,1081
28,867381,34.8,1435.3000000000002,92,23,1733
29,876192,13.600000000000001,371.4,19,23,590
30,991563,20.5,596.3000000000001,28,23,1034
31,1019952,11.0,300.1,37,23,368
32,1022919,4.7,147.8,19,22,272
33,1041761,5.800000000000001,572.8000000000001,26,23,1465
34,1050684,11.7,142.9,23,23,158
35,1053725,8.5,438.70000000000005,58,23,368
36,1067578,5.2,67.5,9,23,112
37,1091123,22.4,558.6,23,23,907
38,1137672,13.100000000000001,318.8,20,23,541
39,1160607,73.4,1125.6,28,23,2002
40,1182380,10.6,127.5,19,23,231
41,1183504,40.4,733.5,29,23,794
42,1188241,20.6,264.1,23,23,311
43,1211225,7.7,89.80000000000001,16,23,199
44,1257131,17.1,234.3,27,23,301
45,1259845,21.8,258.90000000000003,14,23,565
46,1272577,7.800000000000001,110.9,25,22,145
47,1334962,17.7,85.0,20,23,97
48,1409005,57.6,353.20000000000005,18,23,440
49,1485361,17.700000000000003,213.3,16,21,362
50,1498131,2.5,23.0,6,23,39
51,1593616,4.7,99.7,15,23,189
52,1704058,4.699999999999999,152.9,13,23,265
53,1725399,66.4,520.1,34,23,1491
54,1769128,8.8,387.90000000000003,34,23,728
55,1805740,29.1,357.5,38,23,455
56,1806084,19.3,316.0,69,23,263
57,1825186,23.0,138.9,21,23,178
58,1834928,27.5,423.70000000000005,61,23,509
59,1857066,48.2,473.70000000000005,31,23,663
60,1866742,8.3,430.20000000000005,40,23,600
61,1926899,96.30000000000001,1574.0,30,23,2041
62,1963813,11.6,140.70000000000002,18,23,228
63,1985644,7.4,184.20000000000002,19,23,324
64,2079867,27.5,451.6,58,23,461
65,2097413,12.2,601.1,47,23,719
66,2103285,19.700000000000003,246.5,34,23,380
67,2128246,17.5,350.20000000000005,38,23,615
68,2131753,28.200000000000003,499.1,32,23,677
69,2196875,2.9000000000000004,210.8,22,23,348
70,2227874,11.6,428.20000000000005,46,23,608
71,2267344,12.100000000000001,449.3,34,23,886
72,2283337,31.4,356.4,19,23,482
73,2319819,20.3,811.9,43,23,1112
74,2357844,20.2,217.1,14,23,337
75,2364046,14.8,478.3,23,23,772
76,2379445,11.3,133.4,13,23,240
77,2489487,8.9,267.7,20,23,431
78,2502524,5.7,991.8000000000001,27,23,1724
79,2536588,10.8,255.40000000000003,16,23,356
80,2557196,3.6,88.9,11,23,154
81,2588780,12.9,327.4,24,23,631
82,2622091,10.7,451.70000000000005,45,23,720
83,2695854,21.7,300.5,20,23,365
84,2720721,23.5,1074.5000000000002,51,23,2184
85,2742560,37.9,575.4000000000001,39,23,910
86,2814416,11.6,233.3,30,22,384
87,2820961,22.0,566.1,38,23,888
88,2839379,5.0,83.30000000000001,13,23,113
89,2845412,5.5,138.1,28,23,231
90,2870275,5.8,166.20000000000002,20,23,336
91,2913602,38.3,392.6,34,23,491
92,2934039,7.1000000000000005,114.10000000000001,40,23,168
93,2935703,18.3,391.5,36,22,716
94,2950136,21.3,300.3,20,23,340
95,2952532,16.1,472.9,36,23,644
96,2967122,6.3,190.9,18,23,318
97,2989110,32.400000000000006,255.50000000000003,40,23,389
98,3063448,22.700000000000003,615.9000000000001,21,23,1108
99,3166978,45.7,333.5,31,23,290
100,3304327,21.5,628.6,38,23,713
101,3318666,44.8,2011.6,65,23,2386
102,3328558,21.9,648.6,23,23,911
103,3350428,9.9,183.10000000000002,28,23,268
104,3442818,56.0,1381.0,36,23,2599
105,3482403,8.1,123.20000000000002,12,23,217
106,3508821,9.7,174.2,14,23,321
107,3512329,12.7,693.5,21,23,1162
108,3519280,26.200000000000003,379.30000000000007,23,23,559
109,3543407,6.2,474.8,25,23,746
110,3569244,3.6,298.5,18,23,681
111,3578206,10.600000000000001,1237.9,39,23,2052
112,3607854,54.400000000000006,604.7,34,23,753
113,3631290,3.3,89.5,23,22,130
114,3632278,13.899999999999999,252.4,16,23,447
115,3662776,45.5,328.3,15,23,549
116,3671315,74.10000000000001,1035.3000000000002,42,23,1227
