大白菜,0.50,0.59,0.68,/黄心,斤,2021-02-24
娃娃菜,0.80,0.90,1.00,大\小,斤,2021-02-24
芹菜,0.60,0.80,1.00,鲁,斤,2021-02-24
菠菜,0.70,0.95,1.20,鲁\冀,斤,2021-02-24
番茄,0.80,1.30,1.80,川鲁蒙,斤,2021-02-24
黄瓜,1.30,1.55,1.80,蒙辽袋\鲁冀,斤,2021-02-24
小黄瓜,4.50,5.25,6.00,旱\荷兰,斤,2021-02-24
茄子,1.20,1.50,1.80,鲁\新,斤,2021-02-24
架豆,2.80,4.75,6.70,\冀,斤,2021-02-24
尖椒,1.70,2.35,3.00,冀晋/鲁新,斤,2021-02-24
柿子椒,1.20,2.10,3.00,\鲁新,斤,2021-02-24
土豆,0.70,1.00,1.30,\冀,斤,2021-02-24
新土豆,1.50,1.65,1.80,陕冀云新,斤,2021-02-24
黄葱头,1.20,1.30,1.40,\蒙甘,斤,2021-02-24
红葱头,1.50,1.65,1.80,普通,斤,2021-02-24
葱,4.60,4.90,5.20,/苏鲁,斤,2021-02-24
吊冬瓜,3.00,3.10,3.20,桂,斤,2021-02-24
地冬瓜,2.50,2.60,2.70,苏、新,斤,2021-02-24
团生菜,2.00,2.30,2.60,滇闽,斤,2021-02-24
圆白菜,0.80,1.10,1.40,鄂\冀,斤,2021-02-24
